Date,RegionName,InventoryRaw_AllHomes,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio
2016-02-29,RhodeIsland,4342,152950,199900,250000,349000,239000,259000,224900,179000,265000,4.36681222707423,3.86125673933689,4.50151607034567,10000,5950,10000,1075,1300,1700,2200,,1850,1600,1350,1350,2000,
2016-02-29,SouthCarolina,31330,154400,129900,189900,295000,369000,215000,159000,,225900,2.9126213592233,3.4453781512605,2.82579827299262,5100,5000,5100,,928.5,1200,1600,,1200,1125,1000,1010,1250,1250
2016-02-29,SouthDakota,2788,,149900,179900,224900,349000,190000,184900,185000,190500,3.12978660423562,,3.14846209736014,5000,,5000,735,825,1100,,,975,,725,825,997.5,
2016-02-29,Tennessee,30312,131749.5,117900,169900,314900,450000,179900,169900,110000,179900,3.38848197394631,2.9126213592233,3.43434343434343,5100,5100,5100,,900,1050,1365,,1110,1285,735,975,1095,1195
2016-02-29,Texas,80694,139000,160000,195000,315000,469900,244900,209900,181925,245000,3.07692307692308,3.584229390681,3.04878048780488,9000,9000,9000,1025,1245,1400,1795,2500,1400,1300,925,1190,1425,1300
2016-02-29,Utah,7916,,175000,255000,319000,429000,294425,295000,,294000,2.85714285714286,2.72727272727272,2.85714285714286,10000,7600,10000,825,920,1195,1400,1595,1225,1000,850,900,1295,
2016-02-29,Vermont,6378,115000,169000,249900,335000,399000,231059,209000,173750,238900,4.91327648326182,4.66978193146417,5.01688361767986,10000,10000,10000,,,,,,,,,1400,,
2016-02-29,Virginia,39056,189000,165000,216000,349500,504000,259900,239800,229500,260000,3.09090909090909,2.86666666666666,3.12543951569505,9000,7000,9050,1355,1361,1450,1850,2250,1550,1575,,1418,1500,1550
2016-02-29,Washington,18278,199250,202750,269000,367000,454900,285000,230000,285000,289950,3.33333333333333,4.08928395325864,3.26894403395442,10000,10000,10000,1500,1495,1600,1895,2000,1600,1500,1195,1495,1645,1275
2016-02-29,WestVirginia,7994,85000,89900,145000,230000,295000,149900,149900,119450,149900,4.9049049049049,,4.85714285714286,6000,,6000,600,755,1110,1325,,1050,,,700,1025,
2016-02-29,Wisconsin,28876,99900,130000,169900,229900,269900,169900,167000,119900,169900,3.70644922164566,3.45065562456867,3.71333546600774,5000,5000,5000,765,855,1125,1325,,1150,,750,825,1100,750
2016-02-29,Wyoming,3414,,169450,229900,268000,389450,235000,,189500,234900,3.32044272569676,,3.24324324324324,8000,,7450,625,795,1150,,,1200,,700,754.5,1200,1200
2016-03-31,Alabama,27973,,129500,155000,274900,367155,174118,219900,119900,169900,3.33555703802535,3.12695434646654,3.33750579573128,5000,7000,5000,675,700,950,1400,,975,950,,740,975,950
2016-03-31,Alaska,3012,120000,186000,279900,367000,469850,275000,210000,399900,289900,2.27324391907252,2.11214889671481,2.30576441102757,6000,5000,7001,925,1250,1700,2075,,1675,1500,1297.5,1250,1750,
2016-03-31,Arizona,33017,72000,149900,217450,313240,451243,249900,160000,215000,260000,2.32612235403582,2.84541205897841,2.26882096768061,5900,5000,6000,869,1000,1180,1297.5,,1295,1200,750,1035,1299,1295
2016-03-31,Arkansas,17094,99950,89900,137337.5,245900,339634,150000,140150,159900,150000,3.55146371846777,,3.53871427685822,5000,,5000,600,695,950,1500,,1090,997.5,575,689,1095,1050
